customer_id,customer_name,customers_email,sex,address,birthdate,phone,sub_id,agent_id,family_members
CUST_0001,Yasmin Borde,yasmin_borde@hotmail.com,M,"18/91, Zachariah Marg, Ramagundam-769930",1976-01-24,6478377380,subs-00000,AGENT_00096,5
CUST_00010,Charvi Ganguly,charvi_ganguly@outlook.com,F,"H.No. 400, Dube Zila, Ratlam 629819",1984-09-22,5738508826,subs-00031,AGENT_000139,2
CUST_000100,Azad Soman,azad_soman@outlook.com,M,"89/106, Sha Marg, Deoghar-263730",1974-11-02,5707509823,subs-00298,AGENT_000168,5
CUST_0001000,Aaina Krishna,aaina.krishna@gmail.com,F,"91/99, Rajan Chowk
Bathinda-577225",1982-04-16,3513694785,sub_0006,AGENT_00088,0
CUST_0001001,Shamik Chokshi,shamikchokshi@yahoo.com,M,"H.No. 872, Grover Zila, Haridwar 449018",1975-08-05,2432929774,sub_0006,AGENT_00040,0
CUST_0001002,Ela Sagar,ela_sagar@gmail.com,F,"47, Chatterjee Circle
Bulandshahr 131770",1979-01-14,8512338578,sub_0006,AGENT_00085,0
CUST_0001003,Raghav Dhar,raghavdhar@yahoo.com,M,"035, Khatri
Khora  103576",1967-02-03,7564421021,sub_0008,AGENT_00036,0
CUST_0001004,Shayak Sarna,shayak_sarna@gmail.com,F,"71/81
Chaudhry Nagar
Kolhapur 434097",1972-03-27,3734178032,sub_0004,AGENT_00082,0
CUST_0001005,Aaina Verma,aainaverma@yahoo.com,M,"H.No. 593, Khosla
Kadapa-391938",1973-09-05,3165112575,sub_00010,AGENT_00017,0
CUST_0001006,Badal Sridhar,badal_sridhar@hotmail.com,F,"670, Bera Circle, Bhalswa Jahangir Pur 003832",1983-04-05,9932031283,sub_0003,AGENT_00034,0
CUST_0001007,Siya Rajan,siya.rajan@hotmail.com,M,"07, Majumdar Marg, Tenali-606806",1995-05-05,9890701828,sub_0004,AGENT_000211,0
CUST_0001008,Diya Ramakrishnan,diyaramakrishnan@outlook.com,M,"90/907, Wason, Giridih 323289",1977-12-09,1694979305,sub_0006,AGENT_00059,0
CUST_0001009,Ivana Rajan,ivanarajan@outlook.com,F,"23, Cheema Path, Jodhpur 946104",1994-01-29,3625394202,sub_0007,AGENT_00055,0
CUST_000101,Dhanuk Wadhwa,dhanukwadhwa@yahoo.com,F,"H.No. 95, Sem Road, Nadiad-431910",1967-07-20,1247028822,subs-00300,AGENT_000219,5
CUST_0001010,Vivaan Seth,vivaan.seth@outlook.com,F,"12/50
Mallick Street
Muzaffarpur 128441",1972-02-04,2563786027,sub_0009,AGENT_00028,0
CUST_0001011,Suhana Chander,suhanachander@yahoo.com,F,"H.No. 10, Saxena Zila, Avadi 551862",2002-02-27,1759255573,sub_0003,AGENT_000177,0
CUST_0001012,Mamooty Ganesan,mamootyganesan@hotmail.com,M,"H.No. 83
Shanker Circle, Thane 220494",1997-06-25,4142149378,sub_0005,AGENT_00019,0
CUST_0001013,Aaina Goswami,aaina.goswami@hotmail.com,F,"314
Singhal Ganj, Malda-732979",1974-12-23,883736766,sub_0007,AGENT_000143,0
CUST_0001014,Umang Reddy,umang.reddy@yahoo.com,M,"552
Bhavsar Road
Mau 264542",1988-04-19,8200968420,sub_0005,AGENT_000207,0
CUST_0001015,Ehsaan Mani,ehsaanmani@yahoo.com,F,"H.No. 289
Gole Nagar
Tumkur 284219",1979-12-26,7756310640,sub_0007,AGENT_000174,0
CUST_0001016,Yuvraj  Buch,yuvraj_buch@gmail.com,F,"H.No. 670, Gour Circle, Srikakulam 648761",1971-01-29,3180298359,sub_0004,AGENT_000219,0
CUST_0001017,Rati Borde,ratiborde@outlook.com,F,"52/999
Borah Nagar, Raiganj-042581",1967-03-03,2144621798,sub_0001,AGENT_000114,0
CUST_0001018,Yakshit Vohra,yakshit.vohra@outlook.com,F,"747
Keer Chowk
Siwan 303327",1977-11-27,6529927018,sub_0007,AGENT_00053,0
CUST_0001019,Bhamini Kapur,bhaminikapur@gmail.com,F,"H.No. 284
Mand, Pimpri-Chinchwad-410804",1973-12-10,8157668000,sub_0009,AGENT_000154,0
CUST_000102,Tara Kannan,tara.kannan@gmail.com,F,"869
Shah Ganj, Bikaner 309967",1977-10-30,6121809640,subs-00301,AGENT_00064,2
