sub_id,name,phone,mail,address,sub_type
sub_0001,Bharat Petroleum,+91 (22) 24117831 / +91 (22) 24176294,bpclsaptc@bharatpetroleum.in,"Bharat Bhavan, Plot no 31, Prince Gulam, MD. Shah Road, Golf Green, Kolkata, West Bengal-700095",company
sub_0002,HDFC Bank,1800 202 6161 / 1860 267 6161,service@hdfclife.com,"1st Floor, HDFC House, Backbay Reclamation, H. T. Parekh Marg, Churchgate, Mumbai - 400020",company
sub_0003,Tata Consultancy Services (TCS),"(022) 67789999 67789393, +91-22-6778 9595",global.marketing@tcs.com,"Mumbai, Maharashtra, India",company
sub_0004,Mahindra & Mahindra,-66423731,insurance.care@mahindra.com,"Mahindra Towers,Dr. GM.Bhosale Marg,P.K. Kurne Chowk, Worli,Mumbai - 400018",company
sub_0005,ICICI Bank,1800 2666,customersupport@icicilombard.com,"ICICI Lombard House414, P.Balu Marg,Off Veer Sawarkar Marg,near Siddhivinayak Temple, Prabhadevi Mumbai-400025",company
sub_0006,Bharat Heavy Electricals Limited (BHEL),033 2321 6130,companysecretary@bhel.in,"Bharat Heavy Electrical, 7th Cross Rd, DJ 9/1, Sector II, Bidhannagar, Kolkata, West Bengal 700091",company
sub_0007,Reliance Industries,1800 3009 / +91 22 48903009,rgicl.services@relianceada.com,"Commercial Centre, Urvashi Complex, 1st Floor, Silver Lining Tower, At UPC, Urvashi Commercial Centre 1st Floor, Silver Lining Tower, At UPC, City Center, Durgapur, West Bengal 713216",company
sub_0008,Infosys,080-28520261,-,"No. 44, Hosur Road, Electronics City,, Bengaluru Karnataka 560100",company
sub_0009,Wipro,033 4461 0100,reachus@wipro.com,"1, 7, 8 & 9, Street Number 13, DM Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091",company
sub_00010,IBM India,"1-800-425-3303,1-800-425-1266", response@in.ibm.com,"No.12, Subramanya Arcade,Bannerghatta Main Road,BangaluruIndia - 560 029",company
subs-00000,Yasmin Borde,6478377380,yasmin.borde@gmail.com,"18/91, Zachariah Marg, Ramagundam-769930",Family
subs-00002,Vivaan Khalsa,4486940293,vivaan.khalsa@outlook.com,"H.No. 131
Keer Circle, Satna 562462",Family
subs-00004,Azad Agrawal,9103346322,azad_agrawal@outlook.com,"93/17, Vala Ganj
Saharsa-182336",Family
subs-00006,Adira Raman,2025028902,adira.raman@yahoo.com,"63/044, Bhardwaj Marg
Jalna 938805",Self
subs-00007,Anika Dora,5628486333,anikadora@gmail.com,"H.No. 96
Mann Marg, Orai 933634",Self
subs-00013,Jivika Borde,3909616152,jivikaborde@gmail.com,"36, Kaul, Kolkata-978100",Self
subs-00014,Jhanvi Raval,3979151366,jhanviraval@gmail.com,"98/338, Kibe Marg, Aurangabad 812240",Family
subs-00015,Sana Luthra,3210475202,sanaluthra@yahoo.com,"27
Chadha Road, Karimnagar-543600",Family
subs-00016,Ayesha Sarin,3932993567,ayesha_sarin@gmail.com,"H.No. 96, Aggarwal Ganj, Narasaraopet 249832",Self
subs-00019,Amani Khanna,5260209142,amanikhanna@gmail.com,"93/550, Saran Road
Bangalore-905261",Family
subs-00022,Drishya Khanna,3991799589,drishya.khanna@yahoo.com,"49/43
Ganesan Road
Panipat 711632",Family
subs-00023,Madhup Bose,8703260427,madhupbose@hotmail.com,"43
Chauhan Path, Surendranagar Dudhrej-283664",Self
subs-00027,Yakshit Sharaf,3519136281,yakshitsharaf@gmail.com,"H.No. 375
Shere Chowk
Rohtak-074019",Family
subs-00029,Manjari Saha,401193473,manjari_saha@yahoo.com,"39/183, Kala Street
Ajmer 499744",Family
subs-00030,Badal Sule,9700421357,badalsule@yahoo.com,"10, Manda Zila, Baranagar 068982",Self
subs-00031,Charvi Ganguly,5738508826,charvi.ganguly@hotmail.com,"H.No. 400, Dube Zila, Ratlam 629819",Family
subs-00033,Ranbir Desai,4487576347,ranbir.desai@outlook.com,"H.No. 38, Sami Circle
Anantapur 853981",Family
subs-00036,Shalv Thaman,7112526670,shalv_thaman@hotmail.com,"46/936
Mani Ganj
Dharmavaram 490645",Self
subs-00042,Miraan Sane,5956256981,miraan.sane@hotmail.com,"84/13, Dutta
Sambhal 144518",Family
subs-00043,Hansh Barman,5117885025,hansh.barman@yahoo.com,"H.No. 916, Desai Zila, Bongaigaon-633917",Family
subs-00045,Manjari Chander,7220610887,manjari.chander@hotmail.com,"48/30, Bajaj Road
Surat 246940",Family
subs-00046,Advik Choudhary,1412338665,advikchoudhary@gmail.com,"51, Shenoy Ganj, Udupi-731522",Family
subs-00049,Kashvi Dugar,6156738800,kashvidugar@hotmail.com,"42/016, Zacharia
Rourkela 143425",Self
subs-00050,Taimur Bains,4836376196,taimurbains@yahoo.com,"H.No. 40, Lal Ganj
Srikakulam-187485",Self
subs-00052,Kiara Jani,8914741469,kiara.jani@gmail.com,"70, Biswas Zila
Aurangabad 429805",Family
subs-00059,Zoya Shroff,8605082879,zoya_shroff@hotmail.com,"95/03
Borde Road, Kozhikode 478005",Self
subs-00062,Mamooty Bhat,1305415392,mamootybhat@hotmail.com,"721
Shah Ganj, Surendranagar Dudhrej-328613",Family
subs-00067,Bhavin Chandra,9436199934,bhavin_chandra@outlook.com,"H.No. 71
Thakkar Marg, Vijayawada 083590",Family
subs-00068,Eva Shroff,8758806232,evashroff@yahoo.com,"20/67, Choudhry Road
Parbhani-184671",Family
subs-00070,Mannat Bajwa,4960157610,mannat_bajwa@gmail.com,"H.No. 80, Agarwal
Meerut-006676",Self
subs-00071,Stuvan Wadhwa,6859642843,stuvan_wadhwa@yahoo.com,"43/72
Date Zila, South Dumdum-036449",Self
subs-00072,Khushi Bajwa,5499967304,khushi.bajwa@outlook.com,"81/81, Bobal Ganj
Giridih 286632",Family
subs-00073,Chirag Dhawan,219733847,chiragdhawan@outlook.com,"H.No. 707, Dhar Nagar, Mira-Bhayandar 306613",Self
subs-00074,Dhruv Loke,555972008,dhruv.loke@hotmail.com,"56/86
Bali Nagar
Yamunanagar-277152",Family
subs-00075,Raghav Shah,7975436646,raghav.shah@yahoo.com,"32
Garg Marg
Ranchi-347264",Self
subs-00076,Onkar Jhaveri,9963700397,onkarjhaveri@yahoo.com,"24
Lal Marg, Jaipur 964403",Self
subs-00077,Jiya Koshy,3866808335,jiya_koshy@yahoo.com,"49/53
Kadakia Street, Raichur 836574",Family
subs-00079,Aayush Savant,3621428171,aayushsavant@hotmail.com,"59
Doctor Street, Munger-067883",Family
subs-00082,Manikya Singh,6768694349,manikyasingh@hotmail.com,"H.No. 34
Bora Circle
Ahmedabad-221504",Family
subs-00083,Eva Chada,6831938833,eva_chada@yahoo.com,"43, Behl Road, Durg 069720",Family
subs-00085,Advik Konda,3338389385,advik_konda@hotmail.com,"H.No. 646, Sekhon Zila, Gaya-482415",Self
subs-00091,Mohanlal Lall,6506556872,mohanlallall@hotmail.com,"H.No. 29
Mani, Barasat-054683",Family
subs-00092,Raghav Dutta,3733347255,raghavdutta@outlook.com,"83
Khurana Street
Durg 678927",Self
subs-00095,Jhanvi Dhar,6759084604,jhanvi.dhar@hotmail.com,"H.No. 275, Dalal, Rampur 476362",Family
subs-00096,Suhana Chana,5056250519,suhanachana@gmail.com,"13/99
Toor Road, Kolkata-948529",Self
subs-00099,Veer Zacharia,6777136709,veer_zacharia@outlook.com,"56/532, Sarin Street, Gandhinagar 227585",Family
subs-00101,Nitara Bakshi,4810546888,nitara.bakshi@yahoo.com,"22
Anand Circle, Howrah 850351",Family
subs-00102,Madhup Sharma,6088880138,madhup.sharma@yahoo.com,"30/48, Sahni
Kharagpur 589775",Family
subs-00111,Kismat Sarin,383642597,kismat.sarin@hotmail.com,"89, Goyal Nagar
Durg-191408",Family
subs-00112,Sahil Arya,2070782160,sahilarya@yahoo.com,"H.No. 13, Acharya
Mira-Bhayandar-619866",Self
subs-00113,Neelofar Dara,9397921758,neelofardara@gmail.com,"09/10
Vohra Chowk
Bhilai-075016",Self
subs-00114,Shalv Ganguly,6678010085,shalv.ganguly@yahoo.com,"02, Sawhney Street, Jamshedpur-819430",Family
subs-00115,Ryan Yogi,8441566511,ryan_yogi@hotmail.com,"H.No. 604
Krishna Nagar, Akola-624993",Family
subs-00116,Advik Tank,1486079562,advik.tank@yahoo.com,"H.No. 92, Dube Street
Buxar-792844",Family
subs-00117,Mannat Master,6553962430,mannat.master@hotmail.com,"12
Choudhury Circle
Pondicherry-881828",Family
subs-00118,Ryan Sridhar,7745090859,ryan.sridhar@gmail.com,"70/532
Gala Chowk, Bhilai 261664",Family
subs-00119,Kiaan Bir,9248373010,kiaanbir@gmail.com,"H.No. 54
Master Street, Bhavnagar 257193",Self
subs-00121,Shray Kohli,7012466456,shraykohli@yahoo.com,"H.No. 04, Sathe Ganj
Ahmedabad-913859",Family
subs-00127,Vidur Agarwal,5420416201,viduragarwal@outlook.com,"186
Kadakia Street
Rourkela-223842",Family
subs-00131,Hiran Shan,8650517446,hiranshan@yahoo.com,"10/058
Deshmukh Chowk
Pudukkottai-174425",Self
subs-00132,Kiaan Varkey,1465457866,kiaan.varkey@gmail.com,"855, Wagle Path, Guntur 387659",Family
subs-00134,Riaan Srinivas,2081118676,riaansrinivas@gmail.com,"22/504
Bal Zila, Jorhat 122120",Family
subs-00135,Kimaya Saran,5338891278,kimaya_saran@outlook.com,"79/522, Vasa Road, Ghaziabad 757093",Self
subs-00136,Himmat Virk,9493723423,himmat.virk@yahoo.com,"153
Hayer Path
Jalandhar 647489",Family
subs-00137,Indranil Tiwari,917550387,indranil.tiwari@gmail.com,"47/59
Raval Road, Singrauli-054759",Self
subs-00138,Dhruv Golla,4621534144,dhruv_golla@outlook.com,"34/998
Khalsa Nagar, Ramagundam-704312",Family
subs-00139,Arnav Dewan,2221569779,arnavdewan@yahoo.com,"H.No. 679, Bal Marg, Muzaffarnagar 302690",Self
subs-00140,Sara Bhat,9254650804,sara.bhat@outlook.com,"215, Shetty Marg
Malegaon 856617",Family
subs-00141,Raunak Zachariah,827846664,raunakzachariah@yahoo.com,"H.No. 742, Tandon Zila, Bardhaman-026913",Family
subs-00142,Bhamini Bahri,7600776928,bhamini.bahri@gmail.com,"H.No. 54
Anand Chowk
Bhubaneswar-002151",Self
subs-00143,Alisha Badami,4968041092,alisha_badami@yahoo.com,"H.No. 08, Banik Ganj, Kishanganj 361663",Self
subs-00144,Rohan Chaudhuri,6244152341,rohan_chaudhuri@hotmail.com,"09/01, Krishnan Nagar, Purnia 329804",Family
subs-00145,Jayesh Chander,2945407768,jayesh_chander@outlook.com,"81/388, Goyal Circle
Tirunelveli-440284",Family
subs-00147,Manjari Babu,429665312,manjari.babu@gmail.com,"89
Mahal Zila, Fatehpur 418059",Self
subs-00148,Vedika Sachdev,2468683086,vedika_sachdev@outlook.com,"26/331
Rajan Road
Erode 743692",Family
subs-00150,Shray Mann,8486268875,shray.mann@gmail.com,"H.No. 04
Tata Marg, Chinsurah 409253",Self
subs-00151,Prisha Mangat,9849820501,prisha.mangat@hotmail.com,"45
Ramanathan Ganj
Ambala-941682",Self
subs-00154,Siya Kata,3839800657,siya_kata@outlook.com,"81/153
Karnik Zila, Danapur 962720",Family
subs-00155,Nehmat Khatri,5125815660,nehmat.khatri@yahoo.com,"57/003
Wagle Street
Ichalkaranji 772161",Family
subs-00157,Zeeshan Ramakrishnan,1017008268,zeeshan_ramakrishnan@gmail.com,"03/168, Dada Zila, Nanded 749649",Family
subs-00158,Anay Lall,546467860,anay.lall@outlook.com,"48
Kale Chowk
Aurangabad 742160",Family
subs-00159,Anya Shankar,2544900849,anyashankar@gmail.com,"228, Sha Ganj
Motihari 904854",Family
subs-00160,Kavya Rama,6862500550,kavyarama@gmail.com,"H.No. 086
Kunda Nagar
Jalandhar-331058",Family
subs-00163,Rhea Rajagopal,5650163699,rhea.rajagopal@outlook.com,"13, Kapur Ganj, Nanded 123509",Family
subs-00164,Anika Srinivasan,3545858275,anika.srinivasan@gmail.com,"H.No. 514, Bhandari Path, Vadodara 829978",Family
subs-00167,Urvi Sastry,5623113684,urvisastry@outlook.com,"H.No. 85, Varma Marg, South Dumdum-427783",Self
subs-00169,Amira Sama,9397205286,amirasama@outlook.com,"37, Gill Nagar, Aurangabad 667383",Self
subs-00170,Ranbir Rattan,6075926485,ranbir.rattan@hotmail.com,"H.No. 128, Sachdeva Street
Kishanganj-188920",Family
subs-00172,Ishaan Kaul,6639418395,ishaankaul@yahoo.com,"H.No. 233, Hora Ganj
Aizawl 603720",Self
subs-00174,Gatik Goyal,5288308832,gatik_goyal@yahoo.com,"89/102, Sheth Marg, Bikaner 176352",Self
subs-00175,Nirvaan Talwar,7726495560,nirvaan.talwar@yahoo.com,"H.No. 39, Thaman, Jalna 771253",Family
subs-00177,Taran Goswami,721064752,tarangoswami@yahoo.com,"H.No. 11
Anne, Siliguri-176551",Family
subs-00179,Purab Sankar,9146520458,purab.sankar@yahoo.com,"H.No. 77, Dube Marg
Sambhal 052547",Family
subs-00184,Dishani Savant,5309216779,dishani.savant@gmail.com,"22/604
Buch Street
Dehri 242420",Self
subs-00185,Anay Ramanathan,2334995823,anayramanathan@hotmail.com,"28/57
Lata Chowk
Sultan Pur Majra 437818",Family
subs-00188,Drishya Deshpande,7490827962,drishya_deshpande@hotmail.com,"09, Madan Nagar, Guna 290434",Self
subs-00189,Kiaan Dugar,5132759153,kiaan.dugar@hotmail.com,"H.No. 82
Borra Street, Cuttack-055127",Family
subs-00190,Umang Tara,5865053708,umang.tara@gmail.com,"60/80, Sheth Street, Proddatur 441540",Self
subs-00191,Kiara Kalla,5109547078,kiara.kalla@gmail.com,"00/04, Mangat Street
Visakhapatnam-957459",Family
subs-00193,Hridaan Badal,97865028,hridaan_badal@hotmail.com,"00/19, Mani, Aligarh 683411",Self
subs-00194,Pari Mangal,9040499646,pari.mangal@hotmail.com,"69/38, Chawla Chowk, Guntur 485687",Self
subs-00195,Shray Buch,5269436270,shray.buch@yahoo.com,"64/653
Bains Path
Howrah 870378",Family
subs-00196,Nirvaan Subramaniam,7703005372,nirvaan_subramaniam@hotmail.com,"72
Dhillon Nagar, Asansol-300799",Self
subs-00200,Riya Bahri,1626428461,riya.bahri@gmail.com,"877
Banik Marg, Jalgaon 997477",Family
subs-00201,Shamik Joshi,3348577457,shamikjoshi@yahoo.com,"52
Bawa Ganj
Satna-447374",Family
subs-00203,Yuvaan Ram,9287182865,yuvaan.ram@outlook.com,"H.No. 936
Vig Nagar, Vasai-Virar 408863",Family
subs-00204,Ivan Loke,7289894557,ivanloke@outlook.com,"899, Dâ€™Alia Ganj
Gangtok 284721",Self
subs-00205,Miraya Sinha,1288634178,miraya_sinha@outlook.com,"H.No. 692
Shroff Zila, Bijapur 703792",Family
subs-00206,Madhup Kara,8440212423,madhup.kara@outlook.com,"39/61
Gole Marg, Nangloi Jat 549039",Family
subs-00207,Yakshit Taneja,1944183860,yakshit_taneja@gmail.com,"01/713
Subramaniam Zila, Giridih-578715",Self
subs-00210,Aniruddh Master,6990029981,aniruddh_master@hotmail.com,"H.No. 89, Karnik Path
Mirzapur-903002",Family
subs-00214,Reyansh Borra,9767832573,reyansh_borra@hotmail.com,"646
Bhatia Street
Amravati 329186",Self
subs-00216,Vaibhav Kunda,130744702,vaibhavkunda@hotmail.com,"60
Bahri Circle, Kollam 429886",Family
subs-00223,Mohanlal Mane,5557355497,mohanlal.mane@hotmail.com,"76
Roy Zila
Mysore-738488",Family
subs-00226,Reyansh Joshi,5292387497,reyanshjoshi@gmail.com,"145, Deshpande Path, Kanpur-026831",Family
subs-00227,Divij Dani,8228725661,divijdani@outlook.com,"77/85
Chahal Ganj, Bokaro-275814",Family
subs-00235,Mishti Shenoy,4060661748,mishtishenoy@gmail.com,"H.No. 361, Bhandari, Khammam 032338",Self
subs-00241,Nitya Bandi,4787799049,nitya_bandi@hotmail.com,"989, Tella Marg
Ambala-923804",Self
subs-00242,Ehsaan Bath,3352988942,ehsaan_bath@outlook.com,"10
Ramaswamy Marg
Bhilai 219768",Self
subs-00243,Eshani Dave,3757847496,eshani_dave@yahoo.com,"99/859, Dalal Chowk
Kumbakonam 636712",Self
subs-00247,Keya Koshy,1163798474,keya.koshy@hotmail.com,"H.No. 54, Loke Nagar, Tiruvottiyur 631960",Self
subs-00249,Mannat Ray,7671242775,mannat_ray@yahoo.com,"H.No. 66, Kant Zila, Nellore 013433",Family
subs-00250,Lakshit Koshy,4177747743,lakshit_koshy@outlook.com,"17
Seshadri Nagar
Amravati-190854",Family
subs-00251,Lavanya Venkataraman,8738445593,lavanya_venkataraman@hotmail.com,"H.No. 519, Brahmbhatt Path
Kishanganj-982391",Self
subs-00252,Anay Kurian,3942960092,anay.kurian@yahoo.com,"H.No. 191, Balakrishnan Nagar, Salem 787242",Family
subs-00255,Anvi Keer,9909050671,anvikeer@hotmail.com,"H.No. 39
Bail Circle
Vasai-Virar 112088",Self
subs-00256,Azad Shetty,8136808234,azad.shetty@outlook.com,"949
Banik Chowk
Berhampore 086711",Family
subs-00257,Trisha Kulkarni,7313272701,trishakulkarni@hotmail.com,"H.No. 895, Dhar Path
Hospet-455617",Family
subs-00258,Shaan Bhalla,5844692701,shaan.bhalla@gmail.com,"87/249, Brar Road, Saharanpur-045421",Self
subs-00259,Rohan Atwal,6949066807,rohanatwal@yahoo.com,"21/10
Dash Street
Kurnool 966578",Family
subs-00261,Elakshi Bedi,2619644463,elakshi_bedi@outlook.com,"65, Dara Ganj
Bhiwandi 413667",Self
subs-00262,Tara Bassi,3663511105,tarabassi@yahoo.com,"58
Dada Chowk
Bareilly-695141",Family
subs-00263,Chirag Basu,76237662,chirag_basu@yahoo.com,"H.No. 970, Chhabra Path, Howrah 671562",Family
subs-00264,Pranay Keer,3857316506,pranay.keer@hotmail.com,"37/978, Doshi Nagar, Srikakulam 764459",Family
subs-00265,Veer Chatterjee,1418126118,veerchatterjee@outlook.com,"571
Guha, Karimnagar-591157",Family
subs-00267,Divyansh Johal,9773691918,divyansh_johal@outlook.com,"71/268, Chauhan Circle, Ujjain 481158",Self
subs-00268,Myra Jani,7473166746,myra_jani@hotmail.com,"H.No. 302, Dara Road
Purnia 170943",Family
subs-00270,Nirvaan Gola,2969385980,nirvaan_gola@hotmail.com,"32/89
Chada Zila, Dehradun 636709",Family
subs-00271,Kavya Sabharwal,2040763558,kavyasabharwal@outlook.com,"63/792
Borra Path
Solapur-595788",Family
subs-00272,Samaira Kumer,5753694912,samairakumer@outlook.com,"601
Khosla Marg
Allahabad 365272",Family
subs-00273,Ryan Sharma,1642298207,ryan.sharma@hotmail.com,"13, Buch Chowk
Alwar 341130",Family
subs-00274,Bhavin Deep,5541137153,bhavindeep@outlook.com,"H.No. 38
Date Circle
Kirari Suleman Nagar 503482",Family
subs-00275,Shanaya Vyas,1427825009,shanayavyas@gmail.com,"719
Kalla Ganj
Katihar 584485",Self
subs-00276,Misha Upadhyay,3619768095,misha.upadhyay@yahoo.com,"H.No. 20, Grewal Ganj
Thane-318994",Family
subs-00278,Indrajit Balay,5105272585,indrajit.balay@hotmail.com,"73/495, Kara Path
Gangtok 324575",Self
subs-00279,Kabir Goel,2268366029,kabirgoel@gmail.com,"25/42, Mane Chowk, Kadapa 350315",Family
subs-00280,Rasha Aurora,5779032780,rasha_aurora@hotmail.com,"39
Varghese Marg, Cuttack 305428",Family
subs-00281,Anay Gaba,5175389438,anay.gaba@hotmail.com,"54/94
Contractor Marg
Gurgaon-459912",Family
subs-00283,Vedika Dyal,2686973930,vedika_dyal@yahoo.com,"123
Dhillon Ganj, Coimbatore-245000",Self
subs-00284,Akarsh Mahal,5487909325,akarsh_mahal@outlook.com,"H.No. 36, Dubey
Indore-860383",Family
subs-00287,Yakshit Chanda,821879574,yakshitchanda@outlook.com,"485, Goswami Zila, Malegaon-760843",Family
subs-00291,Ryan Cherian,7616619204,ryancherian@gmail.com,"86/776
Deol Circle, Farrukhabad-076101",Family
